,jnr_sm_id,lead_id,lead_stage,call_done_date,call_status,call_reason
0,JNR1001MG,USR1001,lead,1/2/2022,successful,lead_introduction
1,JNR1001MG,USR1001,lead,1/2/2022,successful,demo_schedule
2,JNR1001MG,USR1002,lead,1/3/2022,successful,lead_introduction
3,JNR1001MG,USR1002,lead,1/4/2022,successful,demo_schedule
4,JNR1001MG,USR1002,awareness,1/5/2022,successful,post_demo_followup
5,JNR1001MG,USR1002,awareness,1/6/2022,successful,followup_for_consideration
6,JNR1001MG,USR1002,consideration,1/7/2022,successful,interested_for_conversion
7,JNR1001MG,USR1002,consideration,1/7/2022,successful,followup_for_conversion
8,JNR1001MG,USR1002,conversion,1/7/2022,successful,successful_conversion
9,JNR1001MG,USR1003,lead,1/4/2022,unsuccessful,lead_introduction
10,JNR1001MG,USR1003,lead,1/5/2022,successful,lead_introduction
11,JNR1001MG,USR1003,lead,1/7/2022,successful,demo_schedule
12,JNR1001MG,USR1003,awareness,1/8/2022,successful,post_demo_followup
13,JNR1001MG,USR1003,awareness,1/9/2022,successful,followup_for_consideration
14,JNR1001MG,USR1004,lead,1/1/2022,successful,lead_introduction
15,JNR1001MG,USR1004,lead,1/2/2022,successful,demo_schedule
16,JNR1001MG,USR1004,awareness,1/3/2022,successful,post_demo_followup
17,JNR1001MG,USR1005,lead,1/1/2022,unsuccessful,lead_introduction
18,JNR1001MG,USR1005,lead,1/2/2022,successful,lead_introduction
19,JNR1001MG,USR1005,lead,1/3/2022,successful,demo_schedule
20,JNR1001MG,USR1005,awareness,1/4/2022,successful,post_demo_followup
21,JNR1001MG,USR1006,lead,1/10/2022,successful,lead_introduction
22,JNR1001MG,USR1006,lead,1/12/2022,successful,demo_schedule
23,JNR1001MG,USR1006,lead,1/13/2022,successful,demo_not_attended
24,JNR1001MG,USR1006,awareness,1/13/2022,successful,post_demo_followup
25,JNR1001MG,USR1007,lead,1/11/2022,successful,lead_introduction
26,JNR1001MG,USR1007,lead,1/11/2022,successful,demo_schedule
27,JNR1001MG,USR1007,awareness,1/12/2022,successful,post_demo_followup
28,JNR1001MG,USR1007,awareness,1/13/2022,successful,followup_for_consideration
29,JNR1001MG,USR1007,consideration,1/14/2022,successful,interested_for_conversion
30,JNR1001MG,USR1007,consideration,1/14/2022,successful,followup_for_conversion
31,JNR1001MG,USR1007,conversion,1/14/2022,successful,successful_conversion
32,JNR1001MG,USR1008,lead,1/8/2022,unsuccessful,lead_introduction
33,JNR1001MG,USR1008,lead,1/8/2022,successful,lead_introduction
34,JNR1001MG,USR1008,lead,1/8/2022,successful,demo_schedule
35,JNR1001MG,USR1008,awareness,1/8/2022,successful,post_demo_followup
36,JNR1001MG,USR1009,lead,1/8/2022,successful,lead_introduction
37,JNR1001MG,USR1009,lead,1/8/2022,successful,demo_schedule
38,JNR1001MG,USR1009,awareness,1/10/2022,successful,post_demo_followup
39,JNR1001MG,USR1010,lead,1/8/2022,unsuccessful,lead_introduction
40,JNR1001MG,USR1010,lead,1/9/2022,successful,lead_introduction
41,JNR1001MG,USR1010,lead,1/11/2022,successful,demo_schedule
42,JNR1001MG,USR1010,lead,1/14/2022,successful,demo_not_attended
43,JNR1001MG,USR1010,awareness,1/14/2022,successful,post_demo_followup
44,JNR1001MG,USR1011,lead,1/15/2022,successful,lead_introduction
45,JNR1001MG,USR1011,lead,1/16/2022,successful,demo_schedule
46,JNR1001MG,USR1011,lead,1/20/2022,unsuccessful,demo_not_attended
47,JNR1001MG,USR1011,lead,1/20/2022,successful,demo_not_attended
48,JNR1001MG,USR1011,awareness,1/20/2022,successful,post_demo_followup
49,JNR1001MG,USR1011,consideration,1/21/2022,unsuccessful,interested_for_conversion
50,JNR1001MG,USR1011,consideration,1/22/2022,successful,followup_for_conversion
51,JNR1001MG,USR1011,consideration,1/21/2022,successful,interested_for_conversion
52,JNR1001MG,USR1011,conversion,1/22/2022,successful,successful_conversion
53,JNR1001MG,USR1012,lead,1/15/2022,successful,lead_introduction
54,JNR1001MG,USR1012,lead,1/16/2022,successful,demo_schedule
55,JNR1001MG,USR1012,lead,1/17/2022,successful,demo_not_attended
56,JNR1001MG,USR1012,awareness,1/17/2022,successful,post_demo_followup
57,JNR1001MG,USR1012,consideration,1/18/2022,successful,interested_for_conversion
58,JNR1001MG,USR1012,consideration,1/19/2022,successful,followup_for_conversion
59,JNR1001MG,USR1012,consideration,1/18/2022,unsuccessful,interested_for_conversion
60,JNR1001MG,USR1012,conversion,1/19/2022,successful,successful_conversion
61,JNR1001MG,USR1013,lead,1/17/2022,unsuccessful,lead_introduction
62,JNR1001MG,USR1013,lead,1/18/2022,successful,lead_introduction
